id, type, name, canonical, cached_count, merger_id
21,Category,Gen,True,1423967,-1,
22,Category,F/M,True,1839948,-1,
23,Category,M/M,True,3744166,-1,
24,Category,Other,True,231426,-1,
116,Category,F/F,True,654059,-1,
2246,Category,Multi,True,369718,-1,
