id, type, name, canonical, cached_count, merger_id
14,ArchiveWarning,Choose Not To Use Archive Warnings,True,2556570,-1,
16,ArchiveWarning,No Archive Warnings Apply,True,4095298,-1,
17,ArchiveWarning,Graphic Depictions Of Violence,True,519931,-1,
18,ArchiveWarning,Major Character Death,True,379648,-1,
19,ArchiveWarning,Rape/Non-Con,True,192479,-1,
20,ArchiveWarning,Underage,True,178303,-1,
