script_id,imdb_character_name,words,gender,age
1582,ripley,1846,f,43
1359,yoda,163,m,19
648,elaine,904,f,25
640,buckaroo banzai,1723,m,37
633,mimi,219,f,NULL
630,simon,209,m,32
630,trey,116,m,NULL
