name, movie, percent of dialogue, percent of fanworks (literal), percent of fanworks (including sub tags), age, gender,  year, script ID, imdb ID, movie words, gross, AO3 works in closest fandom (literal), AO3 works in closest fandom (including fandom subtags), AO3 closest fandom,title similarity
mitch brandt,A Serious Man,0.034223059032,-1,-1,None,m,2009,633,tt1019452,9029,10,0,0,,0
reb groshkover,A Serious Man,0.0122937202348,-1,-1,None,m,2009,633,tt1019452,9029,10,0,0,,0
sarah,A Serious Man,0.0321187285414,0.714641744548,0.714641744548,None,f,2009,633,tt1019452,9029,10,1147,1147,Labyrinth (1986),0.125
shtetl wife,A Serious Man,0.0143980507254,-1,-1,None,f,2009,633,tt1019452,9029,10,0,0,,0
sy ableman,A Serious Man,0.0409790674493,-1,-1,53,m,2009,633,tt1019452,9029,10,0,0,,0
uncle arthur,A Serious Man,0.0395392623768,-1,-1,53,m,2009,633,tt1019452,9029,10,0,0,,0
buckaroo banzai,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.280984996738,0.52,0.52,37,m,1984,640,tt0086856,6132,None,39,39,The Adventures of Buckaroo Banzai Across The 8th Dimension (1984),0.892307692308
general catburd,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0544683626875,-1,-1,54,m,1984,640,tt0086856,6132,None,0,0,,0
highway patrolm,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0205479452055,-1,-1,36,m,1984,640,tt0086856,6132,None,0,0,,0
john emdall,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0368558382257,0.0133333333333,0.0133333333333,46,f,1984,640,tt0086856,6132,None,1,1,The Adventures of Buckaroo Banzai Across The 8th Dimension (1984),0.892307692308
lord john whorf,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0538160469667,-1,-1,39,m,1984,640,tt0086856,6132,None,0,0,,0
new jersey,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0215264187867,3.7377588398e-05,0.0,32,m,1984,640,tt0086856,6132,None,3,0,The Avengers (Marvel Movies),0.0862068965517
penny priddy,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.106490541422,0.133333333333,0.133333333333,30,f,1984,640,tt0086856,6132,None,10,10,The Adventures of Buckaroo Banzai Across The 8th Dimension (1984),0.892307692308
perfect tommy,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0756686236138,0.386666666667,0.386666666667,28,m,1984,640,tt0086856,6132,None,29,29,The Adventures of Buckaroo Banzai Across The 8th Dimension (1984),0.892307692308
president widma,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0494129158513,-1,-1,49,m,1984,640,tt0086856,6132,None,0,0,,0
professor hikit,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0490867579909,-1,-1,53,m,1984,640,tt0086856,6132,None,0,0,,0
rawhide,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0803979125897,0.506666666667,0.506666666667,25,m,1984,640,tt0086856,6132,None,38,38,The Adventures of Buckaroo Banzai Across The 8th Dimension (1984),0.892307692308
reno nevada,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0587084148728,0.0933333333333,0.0933333333333,40,m,1984,640,tt0086856,6132,None,7,7,The Adventures of Buckaroo Banzai Across The 8th Dimension (1984),0.892307692308
secretary of de,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.112035225049,-1,-1,48,m,1984,640,tt0086856,6132,None,0,0,,0
alex, the pimp,Above the Law,0.0198878123406,-1,-1,None,m,1988,642,tt0094602,7844,40,-1,0,,0
delores 'jacks',Above the Law,0.0874553799082,-1,-1,39,f,1988,642,tt0094602,7844,40,-1,0,,0
detective lukic,Above the Law,0.025369709332,-1,-1,None,m,1988,642,tt0094602,7844,40,-1,0,,0
kurt zagon,Above the Law,0.11652218256,-1,-1,60,m,1988,642,tt0094602,7844,40,-1,0,,0
lieutenant stro,Above the Law,0.0215451300357,-1,-1,None,m,1988,642,tt0094602,7844,40,-1,0,,0
machete man,Above the Law,0.0144059153493,-1,-1,None,m,1988,642,tt0094602,7844,40,-1,0,,0
nelson fox,Above the Law,0.0850331463539,-1,-1,46,m,1988,642,tt0094602,7844,40,-1,0,,0
nico toscani,Above the Law,0.488908720041,-1,-1,36,m,1988,642,tt0094602,7844,40,-1,0,,0
rosa toscani,Above the Law,0.0214176440592,-1,-1,66,f,1988,642,tt0094602,7844,40,-1,0,,0
sara toscani,Above the Law,0.0252422233554,-1,-1,30,f,1988,642,tt0094602,7844,40,-1,0,,0
tony salvano,Above the Law,0.0258796532381,-1,-1,39,m,1988,642,tt0094602,7844,40,-1,0,,0
uncle branca,Above the Law,0.034548699643,-1,-1,None,m,1988,642,tt0094602,7844,40,-1,0,,0
watanabe,Above the Law,0.0337837837838,-1,-1,None,f,1988,642,tt0094602,7844,40,-1,0,,0
agent gibbs,Air Force One,0.0484524388268,-1,-1,42,m,1997,647,tt0118571,6171,327,-1,0,,0
alice marshall,Air Force One,0.0601199157349,-1,-1,13,f,1997,647,tt0118571,6171,327,-1,0,,0
boris bazylev,Air Force One,0.0186355533949,-1,-1,42,m,1997,647,tt0118571,6171,327,-1,0,,0
chief of staff ,Air Force One,0.0516934046346,-1,-1,48,m,1997,647,tt0118571,6171,327,-1,0,,0
defense secreta,Air Force One,0.034030140982,-1,-1,61,m,1997,647,tt0118571,6171,327,-1,0,,0
f-15 leader col,Air Force One,0.0474801490844,-1,-1,38,m,1997,647,tt0118571,6171,327,-1,0,,0
general northwo,Air Force One,0.0327337546589,-1,-1,50,m,1997,647,tt0118571,6171,327,-1,0,,0
grace marshall,Air Force One,0.0805380003241,-1,-1,41,f,1997,647,tt0118571,6171,327,-1,0,,0
ivan korshunov,Air Force One,0.17420191217,-1,-1,39,m,1997,647,tt0118571,6171,327,-1,0,,0
major caldwell,Air Force One,0.0516934046346,-1,-1,47,m,1997,647,tt0118571,6171,327,-1,0,,0
nsa advisor jac,Air Force One,0.0183114568141,-1,-1,49,m,1997,647,tt0118571,6171,327,-1,0,,0
president james,Air Force One,0.241614000972,-1,-1,55,m,1997,647,tt0118571,6171,327,-1,0,,0
press secretary,Air Force One,0.0380813482418,-1,-1,42,f,1997,647,tt0118571,6171,327,-1,0,,0
reporter #1,Air Force One,0.019931939718,-1,-1,42,m,1997,647,tt0118571,6171,327,-1,0,,0
vice president ,Air Force One,0.0630367849619,-1,-1,50,f,1997,647,tt0118571,6171,327,-1,0,,0
white house aid,Air Force One,0.0194457948469,-1,-1,34,m,1997,647,tt0118571,6171,327,-1,0,,0
air controller ,Airplane!,0.0295404814004,-1,-1,63,m,1980,648,tt0080339,5484,269,0,0,,0
bernice,Airplane!,0.0226112326769,-1,-1,None,f,1980,648,tt0080339,5484,269,0,0,,0
captain oveur,Airplane!,0.0590809628009,-1,-1,54,m,1980,648,tt0080339,5484,269,0,0,,0
dr. rumack,Airplane!,0.1469730124,-1,-1,54,m,1980,648,tt0080339,5484,269,0,0,,0
elaine,Airplane!,0.16484318016,-1,-1,25,f,1980,648,tt0080339,5484,269,0,0,,0
kramer,Airplane!,0.217177242888,0.169312169312,0.169312169312,61,m,1980,648,tt0080339,5484,269,32,32,Constantine (2005),0.111111111111
milton,Airplane!,0.0395696571845,0.338235294118,0.338235294118,None,m,1980,648,tt0080339,5484,269,23,23,Independence Day (Movies),0.04
murdock,Airplane!,0.0488694383662,0.00235016517225,0.0266304860783,33,m,1980,648,tt0080339,5484,269,498,5643,Marvel,0.111111111111
randy,Airplane!,0.0860685630926,-1,-1,24,f,1980,648,tt0080339,5484,269,0,0,,0
ted striker,Airplane!,0.18526622903,-1,-1,33,m,1980,648,tt0080339,5484,269,0,0,,0
captain oveur,Airplane II: The Sequel,0.0592262923656,-1,-1,56,m,1982,650,tt0083530,5842,None,-1,0,,0
dr. rumack,Airplane II: The Sequel,0.0227661759671,-1,-1,56,m,1982,650,tt0083530,5842,None,-1,0,,0
elaine,Airplane II: The Sequel,0.159192057515,-1,-1,27,f,1982,650,tt0083530,5842,None,-1,0,,0
hallick,Airplane II: The Sequel,0.0290996234166,-1,-1,None,m,1982,650,tt0083530,5842,None,-1,0,,0
jacobs,Airplane II: The Sequel,0.0237932214995,-1,-1,35,m,1982,650,tt0083530,5842,None,-1,0,,0
jimmy wilson,Airplane II: The Sequel,0.0217391304348,-1,-1,11,m,1982,650,tt0083530,5842,None,-1,0,,0
kramer,Airplane II: The Sequel,0.0653885655597,-1,-1,None,m,1982,650,tt0083530,5842,None,-1,0,,0
kruger,Airplane II: The Sequel,0.0472440944882,-1,-1,51,m,1982,650,tt0083530,5842,None,-1,0,,0
mary,Airplane II: The Sequel,0.0494693598083,-1,-1,None,f,1982,650,tt0083530,5842,None,-1,0,,0
simon,Airplane II: The Sequel,0.0671003081137,-1,-1,45,m,1982,650,tt0083530,5842,None,-1,0,,0
stella,Airplane II: The Sequel,0.0621362547073,-1,-1,None,f,1982,650,tt0083530,5842,None,-1,0,,0
ted,Airplane II: The Sequel,0.281752824375,-1,-1,None,m,1982,650,tt0083530,5842,None,-1,0,,0
testa,Airplane II: The Sequel,0.0208832591578,-1,-1,25,f,1982,650,tt0083530,5842,None,-1,0,,0
the commissione,Airplane II: The Sequel,0.0347483738446,-1,-1,67,m,1982,650,tt0083530,5842,None,-1,0,,0
the sarge,Airplane II: The Sequel,0.0352618966107,-1,-1,61,m,1982,650,tt0083530,5842,None,-1,0,,0
voice of rok, t,Airplane II: The Sequel,0.0201985621363,-1,-1,36,m,1982,650,tt0083530,5842,None,-1,0,,0
capt. warner,Alien Nation,0.0222863556197,-1,-1,46,m,1988,652,tt0094631,6237,53,-1,0,,0
cassandra,Alien Nation,0.0352733686067,-1,-1,31,f,1988,652,tt0094631,6237,53,-1,0,,0
computer operat,Alien Nation,0.020683020683,-1,-1,None,f,1988,652,tt0094631,6237,53,-1,0,,0
det. bill tuggl,Alien Nation,0.0238896905564,-1,-1,39,m,1988,652,tt0094631,6237,53,-1,0,,0
det. samuel 'ge,Alien Nation,0.248677248677,-1,-1,36,m,1988,652,tt0094631,6237,53,-1,0,,0
det. sgt. matth,Alien Nation,0.431617764951,-1,-1,48,m,1988,652,tt0094631,6237,53,-1,0,,0
fedorchuk,Alien Nation,0.0280583613917,-1,-1,44,m,1988,652,tt0094631,6237,53,-1,0,,0
mayor,Alien Nation,0.023088023088,-1,-1,None,m,1988,652,tt0094631,6237,53,-1,0,,0
o'neal,Alien Nation,0.0237293570627,-1,-1,None,m,1988,652,tt0094631,6237,53,-1,0,,0
quint,Alien Nation,0.0208433541767,-1,-1,None,m,1988,652,tt0094631,6237,53,-1,0,,0
william harcour,Alien Nation,0.0828924162257,-1,-1,50,m,1988,652,tt0094631,6237,53,-1,0,,0
winter,Alien Nation,0.038961038961,-1,-1,41,m,1988,652,tt0094631,6237,53,-1,0,,0
'smokin' joe fr,Ali,0.0166648150206,-1,-1,33,m,2001,653,tt0248667,9001,89,0,0,,0
angelo dundee,Ali,0.0353294078436,-1,-1,55,m,2001,653,tt0248667,9001,89,0,0,,0
belinda ali,Ali,0.0628819020109,-1,-1,27,f,2001,653,tt0248667,9001,89,0,0,,0
bradley,Ali,0.0142206421509,-1,-1,51,m,2001,653,tt0248667,9001,89,0,0,,0
chauncey eskrid,Ali,0.0274413954005,-1,-1,54,m,2001,653,tt0248667,9001,89,0,0,,0
don king,Ali,0.0442173091879,-1,-1,44,m,2001,653,tt0248667,9001,89,0,0,,0
drew 'bundini' ,Ali,0.078657926897,-1,-1,34,m,2001,653,tt0248667,9001,89,0,0,,0
elijah muhammad,Ali,0.0228863459616,-1,-1,64,m,2001,653,tt0248667,9001,89,0,0,,0
george foreman,Ali,0.0179980002222,-1,-1,None,m,2001,653,tt0248667,9001,89,0,0,,0
howard bingham,Ali,0.0208865681591,-1,-1,36,m,2001,653,tt0248667,9001,89,0,0,,0
howard cosell,Ali,0.0638817909121,-1,-1,63,m,2001,653,tt0248667,9001,89,0,0,,0
jabir herbert m,Ali,0.0257749138985,-1,-1,47,m,2001,653,tt0248667,9001,89,0,0,,0
joe smiley,Ali,0.0142206421509,-1,-1,44,m,2001,653,tt0248667,9001,89,0,0,,0
malcolm x,Ali,0.073547383624,-1,-1,44,m,2001,653,tt0248667,9001,89,0,0,,0
muhammad ali,Ali,0.449061215421,-1,-1,33,m,2001,653,tt0248667,9001,89,0,0,,0
sonji roi,Ali,0.0323297411399,-1,-1,30,f,2001,653,tt0248667,9001,89,0,0,,0
antonio salieri,Amadeus,0.156168619792,0.529411764706,0.529411764706,45,m,1984,664,tt0086879,12288,None,9,9,Amadeus (1984),0.5
archbishop coll,Amadeus,0.01220703125,-1,-1,52,m,1984,664,tt0086879,12288,None,0,0,,0
baron van swiet,Amadeus,0.02001953125,-1,-1,61,m,1984,664,tt0086879,12288,None,0,0,,0
constanze mozar,Amadeus,0.114420572917,-1,-1,22,f,1984,664,tt0086879,12288,None,0,0,,0
count orsini-ro,Amadeus,0.024658203125,-1,-1,54,m,1984,664,tt0086879,12288,None,0,0,,0
count von strac,Amadeus,0.0126139322917,-1,-1,52,m,1984,664,tt0086879,12288,None,0,0,,0
emanuel schikan,Amadeus,0.05712890625,-1,-1,35,m,1984,664,tt0086879,12288,None,0,0,,0
emperor joseph ,Amadeus,0.0769856770833,-1,-1,38,m,1984,664,tt0086879,12288,None,0,0,,0
father vogler,Amadeus,0.025146484375,-1,-1,31,m,1984,664,tt0086879,12288,None,0,0,,0
frau schlumberg,Amadeus,0.00870768229167,-1,-1,None,f,1984,664,tt0086879,12288,None,0,0,,0
frau weber,Amadeus,0.0142415364583,-1,-1,None,f,1984,664,tt0086879,12288,None,0,0,,0
katerina cavali,Amadeus,0.0220540364583,-1,-1,31,f,1984,664,tt0086879,12288,None,0,0,,0
leopold mozart,Amadeus,0.0525716145833,-1,-1,61,m,1984,664,tt0086879,12288,None,0,0,,0
lorl,Amadeus,0.0249837239583,-1,-1,18,f,1984,664,tt0086879,12288,None,0,0,,0
michael schlumb,Amadeus,0.0333658854167,-1,-1,52,m,1984,664,tt0086879,12288,None,0,0,,0
papageno in 'th,Amadeus,0.0125325520833,-1,-1,None,m,1984,664,tt0086879,12288,None,0,0,,0
parody commenda,Amadeus,0.00870768229167,-1,-1,50,m,1984,664,tt0086879,12288,None,0,0,,0
salieri's valet,Amadeus,0.0121256510417,-1,-1,36,m,1984,664,tt0086879,12288,None,0,0,,0
wolfgang amadeu,Amadeus,0.311360677083,-1,-1,31,m,1984,664,tt0086879,12288,None,0,0,,0
2-star general,American Gangster,0.0159309658148,-1,-1,None,m,2007,665,tt0765429,9039,164,-1,0,,0
ana,American Gangster,0.0243389755504,-1,-1,None,f,2007,665,tt0765429,9039,164,-1,0,,0
charlie william,American Gangster,0.0127226463104,-1,-1,60,m,2007,665,tt0765429,9039,164,-1,0,,0
detective trupo,American Gangster,0.0417081535568,-1,-1,39,m,2007,665,tt0765429,9039,164,-1,0,,0
frank lucas,American Gangster,0.274366633477,-1,-1,53,m,2007,665,tt0765429,9039,164,-1,0,,0
freddie spearma,American Gangster,0.0154884389866,-1,-1,48,m,2007,665,tt0765429,9039,164,-1,0,,0
huey lucas,American Gangster,0.058524173028,-1,-1,30,m,2007,665,tt0765429,9039,164,-1,0,,0
jackie,American Gangster,0.0146033853302,-1,-1,None,f,2007,665,tt0765429,9039,164,-1,0,,0
javier j. river,American Gangster,0.0433676291625,-1,-1,39,m,2007,665,tt0765429,9039,164,-1,0,,0
jimmy zee,American Gangster,0.0127226463104,-1,-1,None,m,2007,665,tt0765429,9039,164,-1,0,,0
laurie roberts,American Gangster,0.021020024339,-1,-1,36,f,2007,665,tt0765429,9039,164,-1,0,,0
lou toback,American Gangster,0.035180882841,-1,-1,50,m,2007,665,tt0765429,9039,164,-1,0,,0
